SKB                CPU PROCESS          NETNS      MARK/x        IFACE       PROTO  MTU   LEN   TUPLE FUNC
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     __bpf_redirect
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     __dev_queue_xmit
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     qdisc_pkt_len_init
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     netdev_core_pick_tx
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     validate_xmit_skb
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     netif_skb_features
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     passthru_features_check
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_network_protocol
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_csum_hwoffload_help
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     validate_xmit_xfrm
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     dev_hard_start_xmit
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     veth_xmit[veth]
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_clone_tx_timestamp
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     __dev_forward_skb
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     __dev_forward_skb2
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_scrub_packet
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~747b133a4b73:22 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     eth_type_trans
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     __netif_rx
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     netif_rx_internal
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     enqueue_to_backlog
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     __netif_receive_skb
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     __netif_receive_skb_one_core
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_rcv
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_rcv_core
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     tcp_wfree
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     tcp_v4_early_demux
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_route_input_noref
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_route_input_slow
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     fib_validate_source
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 1500  60    10.0.1.199:51998->10.0.1.218:80(tcp)     __fib_validate_source
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 65536 60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_local_deliver
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 65536 60    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_local_deliver_finish
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 65536 40    10.0.1.199:51998->10.0.1.218:80(tcp)     ip_protocol_deliver_rcu
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 65536 40    10.0.1.199:51998->10.0.1.218:80(tcp)     raw_local_deliver
0xffff8bf31b90a4e8 3   <empty>:20315    4026532949 0            eth0:21      0x0800 65536 40    10.0.1.199:51998->10.0.1.218:80(tcp)     raw_v4_input
